City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Almeirim,BR,79.07,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
10,Iquitos,PE,84.24,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
12,Redmond,US,75.42,broken clouds,47.674,-122.1215,Seattle Marriott Redmond
13,Jamestown,US,83.79,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
15,Hede,CN,76.05,moderate rain,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
16,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
20,Kapaa,US,84.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
24,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
29,Sao Felix Do Xingu,BR,81.3,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
32,Hambantota,LK,79.03,overcast clouds,6.1241,81.1185,Bungalow 63
46,Atuona,PF,78.12,scattered clouds,-9.8,-139.0333,Villa Enata
49,Kavieng,PG,82.92,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
55,Ewa Beach,US,87.75,broken clouds,21.3156,-158.0072,Uncle Junior Robert
56,Dwarka,IN,83.95,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
60,Bandarbeyla,SO,78.35,overcast clouds,9.4942,50.8122,JABIR HOTEL
66,Guerrero Negro,MX,78.71,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
68,Sur,OM,84.34,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
71,Jacareacanga,BR,84.09,clear sky,-6.2222,-57.7528,Casa do Ian😎
73,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
78,Kloulklubed,PW,83.19,moderate rain,7.0419,134.2556,Storyboard Beach Resort
