City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,73.45,94,90,3.44,light rain
1,Makakilo City,US,21.3469,-158.0858,83.68,56,75,13.8,broken clouds
2,Zanjan,IR,36.6736,48.4787,57.24,82,46,6.98,scattered clouds
3,Hilo,US,19.7297,-155.09,95.29,74,35,1.99,scattered clouds
4,Caravelas,BR,-17.7125,-39.2481,70.56,86,0,5.14,clear sky
5,Kaitangata,NZ,-46.2817,169.8464,47.26,96,100,8.63,overcast clouds
6,Punta Arenas,CL,-53.15,-70.9167,39.11,93,100,5.53,light rain
7,Hobart,AU,-42.8794,147.3294,44.26,94,75,6.91,light rain
8,Vaini,TO,-21.2,-175.2,73.89,84,91,24.63,overcast clouds
9,Tuktoyaktuk,CA,69.4541,-133.0374,41.63,70,77,14.85,broken clouds
10,Havelock,US,34.8791,-76.9013,87.98,75,58,5.99,broken clouds
11,Rikitea,PF,-23.1203,-134.9692,73.31,72,11,8.05,few clouds
12,Busselton,AU,-33.65,115.3333,53.1,75,98,11.59,overcast clouds
13,Chuy,UY,-33.6971,-53.4616,51.31,89,1,5.93,clear sky
14,Arraial Do Cabo,BR,-22.9661,-42.0278,72.52,85,55,15.48,broken clouds
15,Yarada,IN,17.65,83.2667,80.92,100,75,2.3,light intensity drizzle
16,Kapaa,US,22.0752,-159.319,82.18,79,28,3.0,scattered clouds
17,Shingu,JP,33.7333,135.9833,75.9,95,100,5.41,overcast clouds
18,New Norfolk,AU,-42.7826,147.0587,43.92,92,100,1.36,light rain
19,Ushuaia,AR,-54.8,-68.3,31.14,95,100,4.05,overcast clouds
20,Barrow,US,71.2906,-156.7887,46.42,76,75,13.8,broken clouds
21,Iisalmi,FI,63.5592,27.1907,73.42,95,73,5.55,broken clouds
22,Mataura,NZ,-46.1927,168.8643,43.48,95,99,5.55,overcast clouds
23,Hofn,IS,64.2539,-15.2082,49.77,94,100,4.0,overcast clouds
24,Vila Velha,BR,-20.3297,-40.2925,73.06,82,0,13.58,clear sky
25,Yellowknife,CA,62.456,-114.3525,46.29,87,100,20.11,light rain
26,Husavik,IS,66.0449,-17.3389,53.11,76,29,2.15,scattered clouds
27,Ancud,CL,-41.8697,-73.8203,46.22,81,100,10.33,overcast clouds
28,Fortuna,US,40.5982,-124.1573,91.47,86,90,10.36,overcast clouds
29,Susanville,US,40.4163,-120.653,89.44,10,1,15.99,clear sky
30,Bilibino,RU,68.0546,166.4372,50.14,84,100,4.85,overcast clouds
31,Spring Hill,US,28.4769,-82.5255,93.06,59,73,1.01,broken clouds
32,Alexandria,EG,31.2156,29.9553,79.41,78,0,11.65,clear sky
33,Adrar,MR,20.5022,-10.0711,94.93,24,5,26.35,clear sky
34,Minab,IR,27.1467,57.0801,90.9,53,100,10.13,overcast clouds
35,Iqaluit,CA,63.7506,-68.5145,56.7,58,100,4.0,overcast clouds
36,Newport,GB,51.5877,-2.9984,66.92,80,10,6.35,clear sky
37,Ponta Do Sol,PT,32.6667,-17.1,70.72,82,1,3.56,clear sky
38,Vanimo,PG,-2.6741,141.3028,78.85,87,99,1.79,light rain
39,Dikson,RU,73.5069,80.5464,34.18,93,100,12.33,overcast clouds
40,Narsaq,GL,60.9167,-46.05,61.02,62,10,4.07,clear sky
41,Esperance,AU,-33.8667,121.9,51.64,80,59,25.88,broken clouds
42,Myitkyina,MM,25.3833,97.4,74.48,99,100,0.78,overcast clouds
43,Ribeira Grande,PT,38.5167,-28.7,71.26,85,32,8.75,scattered clouds
44,Blagoyevo,RU,63.3667,47.9167,52.02,90,2,5.03,clear sky
45,Souillac,MU,-20.5167,57.5167,67.35,81,36,11.25,light rain
46,Puerto Ayora,EC,-0.7393,-90.3518,73.54,86,49,5.01,scattered clouds
47,Hasaki,JP,35.7333,140.8333,79.29,88,86,4.21,overcast clouds
48,Georgetown,MY,5.4112,100.3354,80.89,88,20,1.99,few clouds
49,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,77.45,87,70,0.6,broken clouds
50,Necochea,AR,-38.5473,-58.7368,44.04,67,0,9.86,clear sky
51,Buzhakan,AM,40.4529,44.521,57.16,85,100,6.29,overcast clouds
52,Constitucion,CL,-35.3333,-72.4167,51.71,83,0,10.92,clear sky
53,Fort Saint James,CA,54.4333,-124.25,76.12,31,100,5.39,overcast clouds
54,Chokurdakh,RU,70.6333,147.9167,59.16,39,85,19.86,overcast clouds
55,Lata,PT,40.1629,-8.3327,72.05,46,8,0.92,clear sky
56,Tabou,CI,4.423,-7.3528,76.82,79,98,8.19,overcast clouds
57,Beysehir,TR,37.6773,31.7246,66.92,38,0,3.91,clear sky
58,Saint-Philippe,RE,-21.3585,55.7679,67.59,82,38,11.99,light rain
59,Pisco,PE,-13.7,-76.2167,64.02,85,4,3.76,clear sky
60,Isangel,VU,-19.55,169.2667,76.78,81,54,12.17,broken clouds
61,Severo-Kurilsk,RU,50.6789,156.125,52.95,86,79,17.22,broken clouds
62,Sorong,ID,-0.8833,131.25,77.77,90,74,8.03,broken clouds
63,Rawson,AR,-43.3002,-65.1023,48.7,50,93,10.69,overcast clouds
64,Kaeo,NZ,-35.1,173.7833,61.32,72,78,15.21,broken clouds
65,Kathu,TH,7.9178,98.3332,81.7,81,100,1.05,overcast clouds
66,Touros,BR,-5.1989,-35.4608,77.7,81,60,13.62,broken clouds
67,Hermanus,ZA,-34.4187,19.2345,54.9,60,0,3.56,clear sky
