City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nagapattinam,IN,2021-07-14 20:34:11,10.7667,79.8333,79.36,81,100,9.73
1,Praxedis Guerrero,MX,2021-07-14 20:34:12,31.3667,-106.0167,96.53,20,4,3.98
2,Paamiut,GL,2021-07-14 20:32:05,61.994,-49.6678,43.02,96,87,8.25
3,Khatanga,RU,2021-07-14 20:30:26,71.9667,102.5,46.4,61,100,16.08
4,Saskylakh,RU,2021-07-14 20:30:29,71.9167,114.0833,44.1,68,100,17.18
5,San Cristobal,VE,2021-07-14 20:34:12,7.7669,-72.225,82.58,48,28,6.71
6,East London,ZA,2021-07-14 20:30:28,-33.0153,27.9116,55.27,60,0,7.94
7,Ushuaia,AR,2021-07-14 20:26:22,-54.8,-68.3,31.66,80,75,4.61
8,Kuala Pilah,MY,2021-07-14 20:34:13,2.7389,102.2487,74.35,89,100,3.38
9,Hithadhoo,MV,2021-07-14 20:30:32,-0.6,73.0833,82.24,75,100,8.66
10,Andilamena,MG,2021-07-14 20:34:13,-17.0167,48.5833,57.42,91,63,7.0
11,Saint Marys,US,2021-07-14 20:34:14,30.7305,-81.5465,91.62,73,1,5.99
12,Sinnamary,GF,2021-07-14 20:31:12,5.3833,-52.95,80.37,81,79,9.15
13,Bluff,NZ,2021-07-14 20:30:40,-46.6,168.3333,43.81,65,84,10.38
14,Bambous Virieux,MU,2021-07-14 20:32:12,-20.3428,57.7575,70.21,78,40,11.5
15,Altay,CN,2021-07-14 20:34:15,47.8667,88.1167,60.39,60,0,5.88
16,Severo-Kurilsk,RU,2021-07-14 20:32:09,50.6789,156.125,52.48,94,100,17.11
17,Saldanha,ZA,2021-07-14 20:32:02,-33.0117,17.9442,44.65,62,10,4.52
18,Komsomolskiy,UZ,2021-07-14 20:34:15,40.4272,71.7189,81.32,32,33,4.61
19,Cape Town,ZA,2021-07-14 20:30:56,-33.9258,18.4232,50.41,82,0,5.75
20,Busselton,AU,2021-07-14 20:30:35,-33.65,115.3333,49.08,60,92,28.43
21,Leningradskiy,RU,2021-07-14 20:30:40,69.3833,178.4167,46.2,87,98,5.84
22,Kaifeng,CN,2021-07-14 20:34:16,34.7911,114.3483,76.06,92,88,4.76
23,Mount Isa,AU,2021-07-14 20:31:00,-20.7333,139.5,53.37,71,64,0.0
24,Kaman,IN,2021-07-14 20:34:16,27.65,77.2667,88.75,60,100,7.16
25,Kjollefjord,NO,2021-07-14 20:34:17,70.9457,27.3465,47.98,91,89,2.75
26,Vila Velha,BR,2021-07-14 20:28:27,-20.3297,-40.2925,78.96,71,0,10.36
27,Labuhan,ID,2021-07-14 20:34:17,-6.8844,112.2051,75.51,78,100,10.07
28,Thompson,CA,2021-07-14 20:31:25,55.7435,-97.8558,84.72,21,22,4.16
29,Warrington,GB,2021-07-14 20:34:18,53.3925,-2.5802,65.86,79,52,3.0
30,Hualmay,PE,2021-07-14 20:34:18,-11.0964,-77.6139,66.24,77,25,11.79
31,Te Anau,NZ,2021-07-14 20:31:58,-45.4167,167.7167,45.0,93,100,0.76
32,La Ronge,CA,2021-07-14 20:31:52,55.1001,-105.2842,74.01,33,3,8.08
33,Mataura,NZ,2021-07-14 20:30:35,-46.1927,168.8643,43.48,94,76,2.28
34,Dikson,RU,2021-07-14 20:30:49,73.5069,80.5464,36.73,88,100,13.33
35,Laguna,US,2021-07-14 20:31:35,38.421,-121.4238,101.43,38,1,1.01
